# Generated: 2026-04-17
# Source: e-Gov 法令API (https://laws.e-gov.go.jp/api/)
# Entries: 2078 laws
321CONSTITUTION	日本国憲法
356AC0000000093	行政改革を推進するため当面講ずべき措置の一環としての国の補助金等の縮減その他の臨時の特例措置に関する法律
357AC0000000002	農業共済再保険特別会計における農作物共済、畑作物共済及び果樹共済に係る再保険金の支払財源の不足に充てるための一般会計からする繰入金に関する法律
357AC0000000041	昭和五十七年度の公債の発行の特例に関する法律
357AC0000000061	細菌兵器（生物兵器）及び毒素兵器の開発、生産及び貯蔵の禁止並びに廃棄に関する条約等の実施に関する法律
357AC1000000064	深海底鉱業暫定措置法
357AC0000000080	高齢者の医療の確保に関する法律
357AC1000000085	北方領土問題等の解決の促進のための特別措置に関する法律
357AC1000000089	公立の大学における外国人教員の任用等に関する特別措置法
358AC0000000025	技術士法
358AC1000000032	貸金業法
358AC1000000043	浄化槽法
358AC0000000045	昭和五十八年度の財政運営に必要な財源の確保を図るための特別措置に関する法律
358AC0000000046	国民年金特別会計への国庫負担金の繰入れの平準化を図るための一般会計からする繰入れの特例に関する法律
358AC1000000056	医学及び歯学の教育のための献体に関する法律
359AC0000000034	地力増進法
359AC0000000052	昭和五十九年度の財政運営に必要な財源の確保を図るための特別措置等に関する法律
359AC0000000061	湖沼水質保全特別措置法
359AC0000000072	たばこ税法
359AC0000000069	日本たばこ産業株式会社法
359AC0000000068	たばこ事業法
359AC0000000085	日本電信電話株式会社等に関する法律
359AC0000000086	電気通信事業法
360AC0000000033	電子情報処理組織による登記事務処理の円滑化のための措置等に関する法律
360AC0000000043	半導体集積回路の回路配置に関する法律
360AC1000000063	半島振興法
360AC0000000064	米州投資公社への加盟に伴う措置に関する法律
360AC0000000065	基盤技術研究円滑化法
360AC0000000084	昭和六十年度の財政運営に必要な財源の確保を図るための特別措置に関する法律
360AC0000000088	労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律
361AC0000000028	国際花と緑の博覧会の準備及び運営のために必要な特別措置に関する法律
361AC0000000042	特定都市鉄道整備促進特別措置法
361AC0000000045	東京湾横断道路の建設に関する特別措置法
361AC0000000061	昭和六十一年度の財政運営に必要な財源の確保を図るための特別措置に関する法律
361AC0000000062	預託等取引に関する法律
361AC0000000065	プログラムの著作物に係る登録の特例に関する法律
361AC0000000066	外国弁護士による法律事務の取扱い等に関する法律
361AC0000000071	国家安全保障会議設置法
361AC0000000076	日本国有鉄道の経営する事業の運営の改善のために昭和六十一年度において緊急に講ずべき特別措置に関する法律
361AC0000000084	扶養義務の準拠法に関する法律
361AC0000000093	日本国有鉄道改革法等施行法
361AC0000000092	鉄道事業法
361AC0000000087	日本国有鉄道改革法
361AC0000000088	旅客鉄道株式会社及び日本貨物鉄道株式会社に関する法律
362AC0000000023	地域雇用開発促進法
362AC0000000030	社会福祉士及び介護福祉士法
362AC0000000029	外国医師等が行う臨床修練等に係る医師法第十七条等の特例等に関する法律
362AC0000000036	多数国間投資保証機関への加盟に伴う措置に関する法律
362AC0000000042	通貨の単位及び貨幣の発行等に関する法律
362AC0000000051	昭和六十二年度の財政運営に必要な財源の確保を図るための特別措置に関する法律
362AC0000000061	義肢装具士法
362AC0000000063	集落地域整備法
362AC0000000062	民間都市開発の推進に関する特別措置法
362AC0000000060	臨床工学技士法
362AC0000000064	刑事確定訴訟記録法
362AC0000000067	昭和六十二年度及び昭和六十三年度における国家公務員等共済組合法の年金の額の改定の特例に関する法律
362AC0000000071	総合保養地域整備法
362AC1000000072	関西文化学術研究都市建設促進法
362AC0000000078	外国の地方公共団体の機関等に派遣される一般職の地方公務員の処遇等に関する法律
362AC0000000074	昭和六十二年度及び昭和六十三年度における地方公務員等共済組合法の年金の額の改定の特例に関する法律
362AC0000000086	日本電信電話株式会社の株式の売払収入の活用による社会資本の整備の促進に関する特別措置法
362AC0000000093	国際緊急援助隊の派遣に関する法律
362AC1000000103	流通食品への毒物の混入等の防止等に関する特別措置法
362AC1000000104	旅客鉄道株式会社が建設主体とされている新幹線鉄道の建設に関する事業の日本鉄道建設公団への引継ぎに関する法律
362AC1000000105	台湾住民である戦没者の遺族等に対する弔慰金等に関する法律
362AC0100000115	公文書館法
363AC0000000003	漁船再保険及漁業共済保険特別会計における漁業共済に係る保険金の支払財源の不足に充てるための一般会計からする繰入金に関する法律
363AC0000000031	特定弔慰金等の支給の実施に関する法律
363AC0000000047	大都市地域における優良宅地開発の促進に関する緊急措置法
363AC0000000040	港湾労働法
363AC0000000053	特定物質等の規制等によるオゾン層の保護に関する法律
363AC0000000052	昭和六十三年度の財政運営に必要な財源の確保を図るための特別措置に関する法律
363AC0000000083	多極分散型国土形成促進法
363AC1000000090	国会議事堂等周辺地域及び外国公館等周辺地域の静穏の保持に関する法律
363AC0000000091	行政機関の休日に関する法律
363AC0000000093	裁判所の休日に関する法律
363AC0000000098	肉用子牛生産安定等特別措置法
363AC1000000099	遊漁船業の適正化に関する法律
363AC1000000105	国会に置かれる機関の休日に関する法律
363AC0000000107	税制改革法
363AC0000000108	消費税法
401AC0000000058	特定農地貸付けに関する農地法等の特例に関する法律
401AC0000000061	大都市地域における宅地開発及び鉄道整備の一体的推進に関する特別措置法
401AC0000000042	平成元年度の財政運営に必要な財源の確保を図るための特別措置に関する法律
401AC0000000064	地域における医療及び介護の総合的な確保の促進に関する法律
401AC0000000065	特定農産加工業経営改善等臨時措置法
401AC0000000071	森林の保健機能の増進に関する特別措置法
401AC0000000083	貨物自動車運送事業法
401AC0000000082	貨物利用運送事業法
401AC0000000091	民事保全法
401AC1000000088	平成元年四月分から同年七月分までの扶助料に係る加算の年額等の特例に関する法律
401AC0000000084	土地基本法
402AC0000000030	工業所有権に関する手続等の特例に関する法律
402AC0000000029	天皇陛下御即位記念のための十万円の貨幣の発行に関する法律
402AC0000000044	市民農園整備促進法
402AC0000000055	スパイクタイヤ粉じんの発生の防止に関する法律
402AC1000000049	国会議員の秘書の給与等に関する法律
402AC0000000071	生涯学習の振興のための施策の推進体制等の整備に関する法律
402AC0000000070	食鳥処理の事業の規制及び食鳥検査に関する法律
403AC0000000002	湾岸地域における平和回復活動を支援するため平成二年度において緊急に講ずべき財政上の措置に必要な財源の確保に係る臨時措置に関する法律
403AC0000000022	欧州復興開発銀行への加盟に伴う措置に関する法律
403AC0000000015	国の補助金等の臨時特例等に関する法律
403AC0000000036	救急救命士法
403AC0000000045	新幹線鉄道に係る鉄道施設の譲渡等に関する法律
403AC0000000048	資源の有効な利用の促進に関する法律
403AC0000000057	中小企業における労働力の確保及び良好な雇用の機会の創出のための雇用管理の改善の促進に関する法律
403AC0000000059	食品等の持続的な供給を実現するための食品等事業者による事業活動の促進及び食品等の取引の適正化に関する法律
403AC0000000069	地価税法
403AC0000000066	商品投資に係る事業の規制に関する法律
403AC0000000071	日本国との平和条約に基づき日本の国籍を離脱した者等の出入国管理に関する特例法
403AC0000000077	暴力団員による不当な行為の防止等に関する法律
403AC0000000076	育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律
403AC0000000090	借地借家法
403AC0000000094	国際的な協力の下に規制薬物に係る不正行為を助長する行為等の防止を図るための麻薬及び向精神薬取締法等の特例等に関する法律
403AC0000000109	国家公務員の育児休業等に関する法律
403AC1000000108	国会職員の育児休業等に関する法律
403AC0000000111	裁判官の育児休業に関する法律
403AC0000000110	地方公務員の育児休業等に関する法律
404AC0000000015	法人特別税法
404AC0000000051	計量法
404AC1000000053	ゴルフ場等に係る会員契約の適正化に関する法律
404AC0000000052	長野オリンピック冬季競技大会の準備及び運営のために必要な特別措置に関する法律
404AC0000000046	獣医療法
404AC0000000063	介護労働者の雇用管理の改善等に関する法律
404AC0000000062	産業廃棄物の処理に係る特定施設の整備の促進に関する法律
404AC0000000070	自動車から排出される窒素酸化物及び粒子状物質の特定地域における総量の削減等に関する特別措置法
404AC0000000075	絶滅のおそれのある野生動植物の種の保存に関する法律
404AC0000000076	地方拠点都市地域の整備及び産業業務施設の再配置の促進に関する法律
404AC0000000079	国際連合平和維持活動等に対する協力に関する法律
404AC0000000088	地域伝統芸能等を活用した行事の実施による観光及び特定地域商工業の振興に関する法律
404AC0000000086	看護師等の人材確保の促進に関する法律
404AC0000000084	少年の保護事件に係る補償に関する法律
404AC0000000090	労働時間等の設定の改善に関する特別措置法
404AC0000000102	平成三年度歳入歳出の決算上の剰余金の処理の特例等に関する法律
404AC0000000108	特定有害廃棄物等の輸出入等の規制に関する法律
404AC1000000100	政治倫理の確立のための国会議員の資産等の公開等に関する法律
404AC1000000109	国会等の移転に関する法律
404AC1000000110	大阪湾臨海地域開発整備法
405AC0000000009	平成五年度における一般会計承継債務等の償還の特例等に関する法律
405AC0000000033	皇太子徳仁親王の婚姻を記念するための五万円の貨幣の発行に関する法律
405AC0000000038	福祉用具の研究開発及び普及の促進に関する法律
405AC0000000044	協同組織金融機関の優先出資に関する法律
405AC0000000047	不正競争防止法
405AC0000000051	商工会及び商工会議所による小規模事業者の支援に関する法律
405AC0000000052	特定優良賃貸住宅の供給の促進に関する法律
405AC0000000054	身体障害者の利便の増進に資する通信・放送身体障害者利用円滑化事業の推進に関する法律
405AC0000000072	特定農山村地域における農林業等の活性化のための基盤整備の促進に関する法律
405AC0000000076	短時間労働者及び有期雇用労働者の雇用管理の改善等に関する法律
405AC0100000080	民間海外援助事業の推進のための物品の譲与に関する法律
405AC0000000088	行政手続法
405AC0000000091	環境基本法
405AC0000000095	農業共済再保険特別会計の農業勘定における平成五年度の再保険金の支払財源の不足に対処するための特別措置に関する法律
406AC0000000003	衆議院議員選挙区画定審議会設置法
406AC0000000005	政党助成法
406AC0000000009	特定水道利水障害の防止のための水道水源水域の水質の保全に関する特別措置法
406AC0000000008	水道原水水質保全事業の実施の促進に関する法律
406AC0000000028	平成六年分所得税の特別減税の実施等のための公債の発行の特例に関する法律
406AC1000000030	中国残留邦人等の円滑な帰国の促進並びに永住帰国した中国残留邦人等及び特定配偶者の自立の支援に関する法律
406AC0000000033	一般職の職員の勤務時間、休暇等に関する法律
406AC0000000043	平成六年度における財政運営のための国債整理基金に充てるべき資金の繰入れの特例等に関する法律
406AC0000000077	不動産特定共同事業法
406AC0000000079	国際会議等の誘致の促進及び開催の円滑化等による国際観光の振興に関する法律
406AC0000000078	特定先端大型研究施設の共用の促進に関する法律
406AC0000000045	裁判官の介護休暇に関する法律
406AC0100000046	農山漁村滞在型余暇活動のための基盤整備の促進に関する法律
406AC0000000085	製造物責任法
406AC1000000107	音楽文化の振興のための学習環境の整備等に関する法律
406AC1000000106	政党交付金の交付を受ける政党等に対する法人格の付与に関する法律
406AC0000000108	所得税法及び消費税法の一部を改正する法律の施行等による租税収入の減少を補うための平成六年度から平成八年度までの公債の発行の特例等に関する法律
406AC0000000113	主要食糧の需給及び価格の安定に関する法律
406AC0000000117	原子爆弾被爆者に対する援護に関する法律
407AC0000000007	漁船再保険及漁業共済保険特別会計における漁業共済に係る保険金の支払財源の不足に充てるための一般会計からする繰入金に関する法律
407AC0000000011	阪神・淡路大震災の被災者等に係る国税関係法律の臨時特例に関する法律
407AC0000000014	被災市街地復興特別措置法
407AC0000000017	阪神・淡路大震災に対処するための平成六年度における公債の発行の特例等に関する法律
407AC0000000016	阪神・淡路大震災に対処するための特別の財政援助及び助成に関する法律
407AC0000000039	電線共同溝の整備等に関する特別措置法
407AC0000000043	被災区分所有建物の再建等に関する特別措置法
407AC0000000060	平成七年度における財政運営のための国債整理基金に充てるべき資金の繰入れの特例等に関する法律
407AC0000000065	化学兵器の禁止及び特定物質の規制等に関する法律
407AC0000000078	サリン等による人身被害の防止に関する法律
407AC0100000088	緑の募金による森林整備等の推進に関する法律
407AC0000000086	更生保護事業法
407AC0000000100	平成七年度における公債の発行の特例に関する法律
407AC1000000102	沖縄県における駐留軍用地跡地の有効かつ適切な利用の推進に関する特別措置法
407AC0000000105	保険業法
407AC1000000111	地震防災対策特別措置法
407AC0000000112	容器包装に係る分別収集及び再商品化の促進等に関する法律
407AC0000000123	建築物の耐震改修の促進に関する法律
407AC0000000122	国際機関等に派遣される防衛省の職員の処遇等に関する法律
407AC1000000130	科学技術・イノベーション基本法
407AC0100000129	高齢社会対策基本法
407AC1000000133	接収刀剣類の処理に関する法律
408AC0000000002	平成七年度における租税収入の減少を補うための公債の発行の特例に関する法律
408AC0000000039	塩事業法
408AC0000000040	社会保障研究所の解散に関する法律
408AC0000000041	平成八年度における財政運営のための公債の発行の特例等に関する法律
408AC0000000047	木材の安定供給の確保に関する特別措置法
408AC0000000045	林業労働力の確保の促進に関する法律
408AC0000000071	外国船舶製造事業者による船舶の不当廉価建造契約の防止に関する法律
408AC0000000076	排他的経済水域における漁業等に関する主権的権利の行使等に関する法律
408AC0000000074	排他的経済水域及び大陸棚に関する法律
408AC0000000085	特定非常災害の被害者の権利利益の保全等を図るための特別措置に関する法律
408AC0000000093	特定住宅金融専門会社の債権債務の処理の促進等に関する特別措置法
408AC0000000095	金融機関等の更生手続の特例等に関する法律
408AC1000000098	特定住宅金融専門会社が有する債権の時効の停止等に関する特別措置法
408AC1000000101	まぐろ資源の保存及び管理の強化に関する特別措置法
408AC0000000109	民事訴訟法
408AC0000000118	農林中央金庫及び特定農水産業協同組合等による信用事業の再編及び強化に関する法律
409AC0000000027	平成九年度における財政運営のための公債の発行の特例等に関する法律
409AC0000000035	中東・北アフリカ経済協力開発銀行への加盟に伴う措置に関する法律
409AC0000000037	新エネルギー利用等の促進に関する特別措置法
409AC0000000049	密集市街地における防災街区の整備の促進に関する法律
409AC0000000048	日本私立学校振興・共済事業団法
409AC0000000061	南極地域の環境の保護に関する法律
409AC0000000065	一般職の任期付研究員の採用、給与及び勤務時間の特例に関する法律
409AC0000000073	日本国有鉄道清算事業団の債務の負担の軽減を図るために平成九年度において緊急に講ずべき特別措置に関する法律
409AC0000000081	環境影響評価法
409AC0000000082	大学の教員等の任期に関する法律
409AC0000000091	外国人観光旅客の来訪の促進等による国際観光の振興に関する法律
409AC1000000090	小学校及び中学校の教諭の普通免許状授与に係る教育職員免許法の特例等に関する法律
409AC0000000089	日本銀行法
409AC1000000104	臓器の移植に関する法律
409AC0000000109	財政構造改革の推進に関する特別措置法
409AC0000000110	内国税の適正な課税の確保を図るための国外送金等に係る調書の提出等に関する法律
409AC0000000118	平成十七年に開催される国際博覧会の準備及び運営のために必要な特別措置に関する法律
409AC0000000123	介護保険法
409AC0000000124	介護保険法施行法
409AC0000000131	精神保健福祉士法
409AC0000000132	言語聴覚士法
410AC1000000007	特定非営利活動促進法
410AC0000000035	平成十年度における財政運営のための公債の発行の特例等に関する法律
410AC0000000036	中部国際空港の設置及び管理に関する法律
410AC1000000034	土地の再評価に関する法律
410AC0000000025	電子計算機を使用して作成する国税関係帳簿書類の保存方法等の特例に関する法律
410AC1000000041	優良田園住宅の建設の促進に関する法律
410AC1000000045	オウム真理教に係る破産手続における国の債権に関する特例に関する法律
410AC0000000053	特定公共電気通信システム開発関連技術に関する研究開発の推進に関する法律
410AC0000000052	大学等における技術に関する研究成果の民間事業者への移転の促進に関する法律
410AC1000000063	スポーツ振興投票の実施等に関する法律
410AC0100000066	被災者生活再建支援法
410AC0000000076	平成十四年ワールドカップサッカー大会特別措置法
410AC0000000083	種苗法
410AC0000000091	大規模小売店舗立地法
410AC0000000092	中心市街地の活性化に関する法律
410AC0000000090	投資事業有限責任組合契約に関する法律
410AC0000000097	特定家庭用機器再商品化法
410AC0000000099	美術品の美術館における公開の促進に関する法律
410AC0000000103	中央省庁等改革基本法
410AC0000000104	動産及び債権の譲渡の対抗要件に関する民法の特例等に関する法律
410AC0000000105	資産の流動化に関する法律
410AC0000000108	金融機関等が行う特定金融取引の一括清算に関する法律
410AC0000000114	感染症の予防及び感染症の患者に対する医療に関する法律
410AC0000000116	対人地雷の製造の禁止及び所持の規制等に関する法律
410AC0000000117	地球温暖化対策の推進に関する法律
410AC1000000132	金融機能の再生のための緊急措置に関する法律
410AC1000000130	金融庁設置法
410AC1000000126	債権管理回収業に関する特別措置法
410AC0000000137	一般会計における債務の承継等に伴い必要な財源の確保に係る特別措置に関する法律
410AC0000000136	日本国有鉄道清算事業団の債務等の処理に関する法律
410AC1000000143	金融機能の早期健全化のための緊急措置に関する法律
410AC1000000151	破綻金融機関等の融資先である中堅事業者に係る信用保険の特例に関する臨時措置法
410AC0000000150	財政構造改革の推進に関する特別措置法の停止に関する法律
411AC0100000002	ものづくり基盤技術振興基本法
411AC0000000003	平成十一年度における公債の発行の特例に関する法律
411AC0100000004	特定融資枠契約に関する法律
411AC0000000017	地方特例交付金等の地方財政の特別措置に関する法律
411AC0000000018	中小企業等経営強化法
411AC0000000032	金融業者の貸付業務のための社債の発行等に関する法律
411AC0000000042	行政機関の保有する情報の公開に関する法律
411AC0000000051	持続的養殖生産確保法
411AC0100000052	児童買春、児童ポルノに係る行為等の規制及び処罰並びに児童の保護等に関する法律
411AC0000000062	国立教育会館の解散に関する法律
411AC0000000060	重要影響事態に際して我が国の平和及び安全を確保するための措置に関する法律
411AC0100000079	国立公文書館法
411AC0000000078	男女共同参画社会基本法
411AC0000000081	住宅の品質確保の促進等に関する法律
411AC0000000086	特定化学物質の環境への排出量の把握等及び管理の改善の促進に関する法律
411AC0000000091	総務省設置法
411AC0000000097	厚生労働省設置法
411AC0000000093	法務省設置法
411AC0000000099	経済産業省設置法
411AC0000000095	財務省設置法
411AC0000000098	農林水産省設置法
411AC0000000096	文部科学省設置法
411AC0000000094	外務省設置法
411AC0000000089	内閣府設置法
411AC0000000101	環境省設置法
411AC0000000103	独立行政法人通則法
411AC0100000105	ダイオキシン類対策特別措置法
411AC0000000106	食料・農業・農村基本法
411AC0000000100	国土交通省設置法
411AC0000000112	家畜排せつ物の管理の適正化及び利用の促進に関する法律
411AC1000000117	民間資金等の活用による公共施設等の整備等の促進に関する法律
411AC1000000116	国会審議の活性化及び政治主導の政策決定システムの確立に関する法律
411AC1000000130	自衛隊員倫理法
411AC0000000127	国旗及び国歌に関する法律
411AC1000000129	国家公務員倫理法
411AC0000000128	不正アクセス行為の禁止等に関する法律
411AC1000000126	政治倫理の確立のための仮名による株取引等の禁止に関する法律
411AC0000000137	犯罪捜査のための通信傍受に関する法律
411AC0000000136	組織的な犯罪の処罰及び犯罪収益の規制等に関する法律
411AC0000000147	無差別大量殺人行為を行った団体の規制に関する法律
411AC1000000148	特定破産法人の破産財団に属すべき財産の回復に関する特別措置法
411AC0000000152	後見登記等に関する法律
411AC0000000150	任意後見契約に関する法律
411AC1000000153	良質な賃貸住宅等の供給の促進に関する特別措置法
411AC1000000158	特定債務等の調整の促進のための特定調停に関する法律
411AC0000000156	原子力災害対策特別措置法
411AC0000000201	独立行政法人工業所有権情報・研修館法
411AC0000000203	国立研究開発法人産業技術総合研究所法
411AC0000000225	民事再生法
411AC0000000226	電気通信回線による登記情報の提供に関する法律
411AC0000000224	国と民間企業との間の人事交流に関する法律
411AC0000000205	国立研究開発法人土木研究所法
411AC0000000208	国立研究開発法人海上・港湾・航空技術研究所法
411AC0000000206	国立研究開発法人建築研究所法
411AC0000000217	独立行政法人駐留軍等労働者労務管理機構法
411AC0000000219	独立行政法人統計センター法
411AC0000000215	独立行政法人航空大学校法
411AC0000000218	独立行政法人自動車技術総合機構法
411AC0000000216	国立研究開発法人国立環境研究所法
411AC0000000214	独立行政法人海技教育機構法
411AC0000000200	独立行政法人経済産業研究所法
411AC0000000204	独立行政法人製品評価技術基盤機構法
411AC0000000177	独立行政法人国立美術館法
411AC0000000173	国立研究開発法人物質・材料研究機構法
411AC0000000172	独立行政法人国立科学博物館法
411AC0000000178	独立行政法人国立文化財機構法
411AC0000000176	国立研究開発法人量子科学技術研究開発機構法
411AC0000000174	国立研究開発法人防災科学技術研究所法
411AC0000000197	国立研究開発法人国際農林水産業研究センター法
411AC0000000199	国立研究開発法人水産研究・教育機構法
411AC0000000192	国立研究開発法人農業・食品産業技術総合研究機構法
411AC0000000198	国立研究開発法人森林研究・整備機構法
411AC0000000183	独立行政法人農林水産消費安全技術センター法
411AC0000000185	独立行政法人家畜改良センター法
411AC0000000167	独立行政法人国立青少年教育振興機構法
411AC0000000162	国立研究開発法人情報通信研究機構法
411AC0000000165	独立行政法人国立特別支援教育総合研究所法
411AC0000000166	独立行政法人大学入試センター法
411AC0000000164	独立行政法人酒類総合研究所法
412AC0000000003	平成十二年度における公債の発行の特例に関する法律
412AC0000000034	平成十二年度における国民年金法による年金の額等の改定の特例に関する法律
412AC0000000036	アルコール事業法
412AC0000000044	産業技術力強化法
412AC0000000051	地方公共団体の一般職の任期付研究員の採用等に関する法律
412AC0000000050	公益的法人等への一般職の地方公務員の派遣等に関する法律
412AC0000000049	弁理士法
412AC0000000057	土砂災害警戒区域等における土砂災害防止対策の推進に関する法律
412AC0000000061	消費者契約法
412AC0000000075	犯罪被害者等の権利利益の保護を図るための刑事手続に付随する措置に関する法律
412AC0100000081	ストーカー行為等の規制等に関する法律
412AC1000000082	児童虐待の防止等に関する法律
412AC0000000087	大深度地下の公共的使用に関する特別措置法
412AC0000000088	独立行政法人教職員支援機構法
412AC0000000095	農水産業協同組合の再生手続の特例等に関する法律
412AC0000000101	金融サービスの提供及び利用環境の整備等に関する法律
412AC0000000103	会社分割に伴う労働契約の承継等に関する法律
412AC0000000102	電子署名及び認証業務に関する法律
412AC1000000100	国等による環境物品等の調達の推進等に関する法律
412AC0000000104	建設工事に係る資材の再資源化等に関する法律
412AC0000000110	循環型社会形成推進基本法
412AC0000000117	特定放射性廃棄物の最終処分に関する法律
412AC0000000116	食品循環資源の再生利用等の促進に関する法律
412AC0000000127	公共工事の入札及び契約の適正化の促進に関する法律
412AC0000000125	一般職の任期付職員の採用及び給与の特例に関する法律
412AC0000000131	著作権等管理事業法
412AC1000000130	公職にある者等のあっせん行為による利得等の処罰に関する法律
412AC0000000129	外国倒産処理手続の承認援助に関する法律
412AC0000000132	平成十一年度歳入歳出の決算上の剰余金の処理の特例に関する法律
412AC1000000147	人権教育及び人権啓発の推進に関する法律
412AC0000000145	重要影響事態等に際して実施する船舶検査活動に関する法律
412AC0000000146	ヒトに関するクローン技術等の規制に関する法律
412AC1000000149	マンションの管理の適正化の推進に関する法律
412AC1000000148	原子力発電施設等立地地域の振興に関する特別措置法
413AC0000000013	平成十三年度における国民年金法による年金の額等の改定の特例に関する法律
413AC0000000012	平成十三年度における公債の発行の特例に関する法律
413AC0000000026	高齢者の居住の安定確保に関する法律
413AC0100000031	配偶者からの暴力の防止及び被害者の保護等に関する法律
413AC0000000044	通信・放送融合技術の開発の促進に関する法律
413AC0000000050	確定給付企業年金法
413AC0000000057	自動車運転代行業の業務の適正化に関する法律
413AC1000000063	ハンセン病療養所入所者等に対する補償金の支給等に関する法律
413AC0000000065	ポリ塩化ビフェニル廃棄物の適正な処理の推進に関する特別措置法
413AC1000000064	フロン類の使用の合理化及び管理の適正化に関する法律
413AC0000000075	社債、株式等の振替に関する法律
413AC0000000093	農林中央金庫法
413AC0000000095	電子消費者契約に関する民法の特例に関する法律
413AC0000000089	水産基本法
413AC0000000088	確定拠出年金法
413AC0000000086	行政機関が行う政策の評価に関する法律
413AC0000000102	小型船舶の登録等に関する法律
413AC0000000111	特定機器に係る適合性評価手続の結果の外国との相互承認の実施に関する法律
413AC0000000112	個別労働関係紛争の解決の促進に関する法律
413AC0000000120	地方公共団体の特定の事務の郵便局における取扱いに関する法律
413AC0000000119	司法制度改革推進法
413AC0000000123	平成十二年度歳入歳出の決算上の剰余金の処理の特例に関する法律
413AC0000000131	銀行等の株式等の保有の制限等に関する法律
413AC0000000137	特定電気通信による情報の流通によって発生する権利侵害等への対処に関する法律
413AC0000000140	独立行政法人等の保有する情報の公開に関する法律
413AC0000000147	地方公共団体の議会の議員及び長の選挙に係る電磁的記録式投票機を用いて行う投票方法等の特例に関する法律
413AC1000000148	文化芸術基本法
413AC1000000154	子どもの読書活動の推進に関する法律
414AC0000000021	平成十四年度における国民年金法による年金の額等の改定の特例に関する法律
414AC0000000020	平成十四年度における財政運営のための公債の発行の特例等に関する法律
414AC0000000014	沖縄振興特別措置法
414AC0000000022	都市再生特別措置法
414AC0100000026	特定電子メールの送信の適正化等に関する法律
414AC0000000041	独立行政法人国立印刷局法
414AC0000000042	貨幣回収準備資金に関する法律
414AC0000000040	独立行政法人造幣局法
414AC0000000053	土壌汚染対策法
414AC0000000052	農林漁業法人等に対する投資の円滑化に関する特別措置法
414AC1000000049	身体障害者補助犬法
414AC0000000048	地方公共団体の一般職の任期付職員の採用に関する法律
414AC0000000067	公衆等脅迫目的の犯罪行為等のための資金等の提供等の処罰に関する法律
414AC0000000066	国際受刑者移送法
414AC1000000071	エネルギー政策基本法
414AC1000000070	牛海綿状脳症対策特別措置法
414AC0000000078	マンションの再生等の円滑化に関する法律
414AC0000000081	文化財の不法な輸出入等の規制等に関する法律
414AC0000000087	使用済自動車の再資源化等に関する法律
414AC0000000088	鳥獣の保護及び管理並びに狩猟の適正化に関する法律
414AC1000000092	南海トラフ地震に係る地震防災対策の推進に関する特別措置法
414AC0000000094	独立行政法人エネルギー・金属鉱物資源機構法
414AC0000000099	民間事業者による信書の送達に関する法律
414AC1000000101	入札談合等関与行為の排除及び防止並びに職員による入札等の公正を害すべき行為の処罰に関する法律
414AC0000000103	健康増進法
414AC1000000105	ホームレスの自立の支援等に関する特別措置法
414AC1000000120	有明海及び八代海等を再生するための特別措置に関する法律
414AC0000000127	独立行政法人農業者年金基金法
414AC0000000123	独立行政法人国民生活センター法
414AC0000000122	知的財産基本法
414AC0000000128	独立行政法人農林漁業信用基金法
414AC0000000126	独立行政法人農畜産業振興機構法
414AC0000000137	独立行政法人国際交流基金法
414AC0000000139	法科大学院の教育と司法試験等との連携等に関する法律
414AC0000000132	独立行政法人北方領土問題対策協会法
414AC0000000136	独立行政法人国際協力機構法
414AC0000000147	独立行政法人中小企業基盤整備機構法
414AC1000000143	北朝鮮当局によって拉致された被害者等の支援に関する法律
414AC0000000145	国立研究開発法人新エネルギー・産業技術総合開発機構法
414AC1000000148	自然再生推進法
414AC0000000171	独立行政法人労働者健康安全機構法
414AC0000000172	独立行政法人日本貿易振興機構法
414AC0000000151	情報通信技術を活用した行政の推進等に関する法律
414AC0000000153	電子署名等に係る地方公共団体情報システム機構の認証業務に関する法律
414AC0000000159	独立行政法人日本学術振興会法
414AC0000000158	国立研究開発法人科学技術振興機構法
414AC0000000156	放送大学学園法
414AC0000000154	会社更生法
414AC0000000161	国立研究開発法人宇宙航空研究開発機構法
414AC0000000167	独立行政法人国立重度知的障害者総合施設のぞみの園法
414AC0000000163	独立行政法人日本芸術文化振興会法
414AC0000000169	独立行政法人労働政策研究・研修機構法
414AC0000000162	独立行政法人日本スポーツ振興センター法
414AC0000000165	独立行政法人高齢・障害・求職者雇用支援機構法
414AC0000000166	独立行政法人福祉医療機構法
414AC0000000160	国立研究開発法人理化学研究所法
414AC0000000190	金融機関等の組織再編成の促進に関する特別措置法
414AC0000000181	独立行政法人国際観光振興機構法
414AC0000000183	独立行政法人自動車事故対策機構法
414AC0000000189	構造改革特別区域法
414AC0000000182	独立行政法人水資源機構法
414AC0000000188	東京地下鉄株式会社法
414AC0000000180	独立行政法人鉄道建設・運輸施設整備支援機構法
414AC0000000191	独立行政法人国立病院機構法
414AC0000000192	独立行政法人医薬品医療機器総合機構法
415AC1000000002	平成十四年度の水田農業経営確立助成補助金等についての所得税及び法人税の臨時特例に関する法律
415AC0000000020	社会資本整備重点計画法
415AC0000000019	平成十五年度における国民年金法による年金の額等の改定の特例に関する法律
415AC0000000018	平成十五年度における公債の発行の特例に関する法律
415AC0000000027	株式会社産業再生機構法
